id,name
q3295867,the coca-cola company
q334800,pepsico
q445007,altria
q116505489,asas group of companies
q609466,colgate-palmolive company
q116505531,masafi
q11041431,karnataka_milk_federation
q329426,danone
q6108205,jg summit holdings
q160746,nestlé
q116505566,blow group of companies
q12497654,mayora indah
q27961785,bakhresa group
q106689208,various artists
q17227901,ok food industry
q248711,frieslandcampina
q607272,woolworths group
q688082,bata limited
q905963,salim group
q1190881,reckitt
q17054442,haldiram's
q212405,procter & gamble
q898568,japan tobacco
q116505517,metl group
q12857502,mondelez international
q156077,l’oréal
q157062,unilever
q22909263,tanzania cigarette company
q19903187,brookside dairy limited
q7140201,partex group
q7887319,united africa company of nigeria
q3635447,bisleri
q4672813,accra brewery limited
q180855,heineken
q856411,british american tobacco
q38076,mcdonald’s
q16743607,pran-rfl group
q11108502,nigerian breweries
q161140,diageo
q3139309,holmarcom group
q1691896,jab holding company
q1655008,itc limited
q6027691,industrial promotion services
q17081914,parle products
q7138871,parle agro
q97277863,abdul monem limited
q61883237,twellium industrial company
q6898690,monde nissin
q1567552,palm breweries
q28225521,milk vita
q1471161,imperial brands
q612524,perfetti van melle
q85790037,nutriasia
q3319685,molson coors brewing company
q15304350,thaibev
q639447,seven & i holdings co.
q8069688,zest-o corporation
q1553005,gudang garam
q16172223,yakult honsha
q7959272,wadia group
q2635017,roshen
q775031,grupo bimbo
q54092988,kasapreko
q37158,starbucks
q412826,ajinomoto
q24910061,paper boat
q695087,"mars, incorporated"
q12524596,wings
q269792,ferrero spa
q7884718,unicel
q7429410,sazerac company
q18345141,century pacific food
q28861110,l’arche green
q11283168,asahi group holdings
q5433556,fan milk
q1073501,china resources
q169552,haribo
q17077257,radico khaitan
q128738,anheuser-busch inbev
q15081643,vitasoy international holdings
q613669,rauch
q3117357,castel group
q6898690q18341667,"monde nissin, nissin foods holdings"
q715583,costco
q4700954,akij
q7314390,republic biscuit corporation
q4699710,tee mccc wax
q12512104,q12512104
q217583,berkshire hathaway
q2855873,group lala
q4708565,alaska milk corporation
q7808113,ting hsin international group
q16043435,oishi (company)
q5116536,church & dwight
q6381088,kazi farms group
q1056637,the hershey company
q106158,s&p global ratings
q795981,société bic
q92869679,macquarie infrastructure and real assets
q13060139,square group
q10291782,grupo edson queiroz
q169167,metro ag
q18619470,restaurant brands international
q16242798,bluetriton brands
q55948121,sakina
q985475,mengniu dairy
q39045808,flour mills of nigeria
q483551,walmart
q1345267,suntory
q5135861,clover
q2721482,amul the taste of india
q85756707,dharampal satyapal group
q153417,kroger
q491516,chick-fil-a
q20652338,nomad foods
q56406421,oulmes mineral water
q3088553,united breweries group
q19727082,nabati group
q20012588,rivella
q680727,federation of migros cooperatives
q5225569,dart container
q19548352,ck hutchison holdings
q2923619,q2923619
q18636363,distell group limited
q2205893,q2205893
q17639386,avril group
q1519175,vinamilk
q5216177,otsuka holdings
q3117316,alma group
q5753336,carozzi
q1852556,philip morris international
q683170,s. c. johnson & son
q1741634,kimberly-clark
q1071849,hangzhou wahaha group
q632694,archer daniels midland
q7658827,swisher
q45208078,jollibee foods corporation
q8061424,yupi
q4054103,atb-market
q109440806,q109440806
q397401,japan tobacco international
q12523164,q12523164
q1003789,china tobacco
q97241901,tabobel
q3369963,jarritos
q18107621,ng investeeringud
q201691,beiersdorf
q4866913,bashundhara group
q669141,coloplast
q17210124,suntory beverage & food
q3086676,fraser and neave
q21338598,lt group
q6676064,thai president foods
q17003711,amrut distilleries
q19729774,nippon indosari corpindo
q60774379,promasidor nigeria
q85514136,spritzer
q106281799,candi baru hotel
q629998,general mills
q25041220,dana group
q7843323,triple-s management corporation
q668737,yum! brands
q6897995,monarch beverage company
q856897,kellogg's
q3117384,delice group
q371901,royal unibrew
q1544329,vivl
q97198002,q97198002
q30286235,world centric (united states)
q5950695,olam international
q3296092,marwa
q3532857,kerala co-operative milk marketing federation
q55074808,inspire brands
q712034,schwarz gruppe
q380022,grupo arcor
q194297,guinness
q1099075,cedevita
q946370,fonterra
q188115,saba
q17086814,united spirits limited
q610492,spar
q15938385,hongta group
q392451,0
q109433683,q109433683
q125054,aldi
q947718,reynolds american
q240711,hotel chelsea
q17110512,naya waters
q7884615,uni-president enterprises corporation
q856411q947718,"british american tobacco, reynolds american"
q12071257,q12071257
q16994973,intafact beverages limited
q1799920,vöslauer
q6108205q947718,"jg summit holdings, reynolds american"
q97236799q97236799,"rekso group, rekso group"
q12514216,siantar top
q18341667,nissin foods holdings
q6898690q12857502,"monde nissin, mondelez international"
q108574767,linea aeropostal venezolana
q566814,august storck kg
q31174144,nutrifood
q4646960,a-z
q55625166,niagara bottling
q910541,topps
q1364176,wipro
q674575,arla foods
q6898690q12857502q18341667,"monde nissin, mondelez international, nissin foods holdings"
q11687605,la casera
q96100690,ultra jaya milk industry
q20014134,colombina
q22909263q157062,"tanzania cigarette company, unilever"
q5912729,houchens industries
q3043485,imagi animation studios
q30938280q695087q62535175,"essity, mars, incorporated, tempo"
q4969284q180855q12857502,"britannia industries, heineken, mondelez international"
q10910318q905963,"indofood agri resources limited, salim group"
q1691896q6918609,"jab holding company, mott's"
q3740038,fata assicurazioni
q1231406,yili group
q3928115,q3928115
q6351754,kalbe farma
q4791249,arizona beverage company
q117059,associated british foods
q625875q573266,"korea yakult, rewe group"
q682144,tomtom
q25488877,gardenia
q2575851,spunk.nl
q28498925,q28498925
q334800q157062,"pepsico, unilever"
q6888604,modern dairy
q43709,rfm corporation
q573266,rewe group
q7271953,quiktrip
q11422650,kokusai denshin denwa
q19856023,patanjali ayurved
q30265884,south african heart association
q65091087,parag milk foods
q10928288,del monte pacific limited
q397347,agrokor
q445007q56034693,"altria, pt dwimuria investama andalan"
q2723075,dabur
q5361268q12524596,"unicharm, wings"
q5214652,dana
q56034693,pt dwimuria investama andalan
q1575057,pingo doce
q1030544,campbell soup company
q11350495,lotte holdings
q333718,johnson & johnson
q5361268,unicharm
q934489q18636682,"san miguel corporation, san miguel food and beverage, inc."
q2035375,sonae
q2289193,sierra nevada brewing company
q4081738q1967898,"beldziarzhkharchpram, neman"
q7234413,postobón
q97236799,rekso group
q898568q526505,"japan tobacco, sobranie"
q16980794,shake
q212405q157062,"procter & gamble, unilever"
q331715,tata group
q908553,union carbide
q3277355,saban capital group
q12482004,dua kelinci
q334800q3295867,"pepsico, the coca-cola company"
q31174144q12501067,q31174144q12501067
q4249585,alpura
q467075q856411q56034693,"american tobacco company, british american tobacco, pt dwimuria investama andalan"
q893047,boon rawd brewery
q1691896q12524596,"jab holding company, wings"
q4049425,shuanghui
q85762682,ganten
q96100268,garudafood putra putri jaya
q1691896q334800,"jab holding company, pepsico"
q5204857,desa
q110730268,fruna
q115972938,lemon square
q13120120,marico
q329426q905963,"danone, salim group"
q5510683,future group
q833217,george weston limited
q1677100,jack link's
q289362,cerberus capital management
q3295867q2509523,"the coca-cola company, valser"
q497054,kt&g
q12435810,nirma
q3131210,natura cosméticos s.a.
q7452379,septwolves
q5647768,hanesbrands
q113215,carlsberg group
q52855,swedish match
q5595046,grand river enterprises
q591001,chery
q9672184q12857502,q9672184q12857502
q12514359,sido muncul
q7980538,welch's
q856411q12857502,"british american tobacco, mondelez international"
q725634,ashland inc.
q629998q3488775,"general mills, sodiaal"
q212322q157062,"glaxosmithkline, unilever"
q5324773,e & j gallo winery
q632030,emmi ag
q902855q157062,"kao corporation, unilever"
q6108205q43305333,"jg summit holdings, tivoli"
q110167603,fini
q11326190,hi-lex
q54850298,colombina
