brand_name,validated,brand_parent_occurances,parent_company_name,id,brand_total_count,brand_frequency
(chinese product),true,1,unbranded,unbranded,8,2
(no input),true,1,unbranded,unbranded,21,2
(thailand product),true,1,unbranded,unbranded,2,2
**chuckie,false,1,nestlé,q160746,23,1
**unsure other type of material,false,1,**unsure other type of material,**unsure other type of material,84,1
**zest-o,false,1,zest-o corporation,q8069688,17,1
-,true,1,unbranded,unbranded,243684,24
07/11/2020,false,1,07/11/2020,07/11/2020,2,2
1 bread,false,1,1 bread,1 bread,1,1
1 no shantipuri jorda,false,1,mamun chemical workers,mamun chemical workers,1,1
1 oz lead weights removed from cast net,true,1,unbranded,unbranded,64,1
1 to 3,false,1,shri raja industries,shri raja industries,5,1
1 to 3 noodles,false,1,shri raja industries,shri raja industries,3,2
1-2 item from various brands,false,1,federation of migros cooperatives,q680727,31,1
1-2 item frrom various brands,false,1,coop,coop,18,1
"1-2 pieces from various brands,",false,1,nestlé,q160746,52,1
1.2.3,false,1,1.2.3,1.2.3,4,2
1/2 styrofoam car inner bumper,true,1,unbranded,unbranded,1,1
100 grand,false,1,nestle,nestle,1,1
100 piper,false,1,pernod ricard,q837049,23,1
100 plus,false,1,tanzania cigarette company,q22909263,53,15
100% ice cream,false,1,ind. e distrib. de sorvetes cem por cento ice cream,ind. e distrib. de sorvetes cem por cento ice cream,2,1
100% plombіr,false,1,100% plombіr,100% plombіr,8,1
100p,false,1,100p,100p,1,1
100plus,true,1,fraser and neave,q3086676,143,21
12 oz angry orchard bottle,false,1,boston beer company,q894558,1,1
12 oz bottles,true,1,unbranded,unbranded,3,1
12 oz brown beer bottles,true,1,unbranded,unbranded,17,1
12 oz dot 3 break fluid bottle,false,1,o reilly auto parts,o reilly auto parts,1,1
123 supermarket,false,1,123 supermarket,123 supermarket,2,1
13 oz fudge grams,false,1,clover valley dollar general,clover valley dollar general,1,1
15 oz coconut bar wrapper,false,1,abimar foods,abimar foods,1,1
150 f,false,1,150 f,150 f,2,1
150 f lighter,false,1,150 f lighter,150 f lighter,1,1
153,false,1,"batu karang, batu karang indonesia","batu karang, batu karang indonesia",2,2
153 lista kml kretek,false,1,batu karang,batu karang,2,1
16 oz bottles,true,1,unbranded,unbranded,12,1
16 oz glass bottle,true,1,unbranded,unbranded,4,1
16 oz yuengling can,false,1,boston beer company,q894558,1,1
1664å•¤é…’/kronenbourge 1664,false,1,kronenbourg,kronenbourg,5,1
1800 respado,false,1,1800 respado,1800 respado,1,1
1800 tequila,false,1,the beckmann family,the beckmann family,1,1
1965 plombir,false,1,limo,limo,5,1
1m1,false,1,1m1,1m1,16,1
1to3,false,1,shri raja enterprises,shri raja enterprises,1,1
1ç‚¹ç‚¹/yi diandian,false,1,yi diandian,yi diandian,1,1
2,false,1,berkshire hathaway,berkshire hathaway,2,1
2 jempol,false,1,cv anugerah internasional,cv anugerah internasional,2,1
2 kapak degerinde!,false,1,2 kapak degerinde!,2 kapak degerinde!,1,1
2 motor oil 20w50,false,1,seahorse lubricant industries ltd,seahorse lubricant industries ltd,1,1
2 pac swisher sweets packaging,false,1,swisher,q7658827,1,1
2% aqua,false,1,2% aqua,2% aqua,1,1
20 20,false,1,parle products,parle products,20,1
20 de junio,false,1,20 de junio,20 de junio,1,1
20 mars,false,1,"20 mars, rnta","20 mars, rnta",173,8
20 oz bottles,true,1,unbranded,unbranded,2,1
